type	species	x_m	y_m	ht_m	dbh_cm
Tree	POTR	118.86	177.32	2.3	1.02
Tree	POTR	115.02	179.02	2.3	1.27
Tree	POTR	115.06	178.87	2.3	1.27
Tree	POTR	115.09	178.76	2.3	1.27
Tree	POTR	115.03	178.58	2.3	1.27
Tree	POTR	115.3	178.28	2.3	1.27
Tree	POTR	9.05	150.21	2.3	1.52
Tree	POTR	112.95	176.13	2.3	1.02
Tree	PIPO	82.39	85.33	2.33	3.81
Tree	PIPO	181.96	143.92	2.33	5.33
Stump	PSME	83.22	176.05	2.34	5.48
Tree	PIPO	168.48	22.99	2.35	3.56
Stump	POTR	143.55	180	2.35	2.23
Stump	PIPO	0.55	8.06	2.36	1.99
Stump	PIPO	81.12	31.54	2.36	1.99
Stump	PIPO	7.1	161.1	2.36	1.99
Stump	PIPO	161.26	180.32	2.36	1.99
Tree	PIPO	195.2	68.51	2.37	5.08
Tree	PIPO	162.25	15.24	2.38	4.06
Tree	PIPO	25	24.27	2.4	3.05
Tree	PIPO	25	19.92	2.4	4.06
Tree	PIPO	199.25	37.36	2.4	4.57
Tree	POTR	113.43	176.41	2.4	1.27
Tree	POTR	116.74	177.95	2.4	0.76
Tree	POTR	116.64	177.93	2.4	0.76
Tree	POTR	116.35	177.88	2.4	0.76
Tree	POTR	115.71	179.33	2.4	0.76
Tree	POTR	113.57	175.95	2.4	1.02
Tree	POTR	7.81	167.8	2.4	1.27
Tree	POTR	136.83	174.68	2.4	1.4
Tree	POTR	103.48	161.16	2.4	6.1
Stump	PSME	35.1	177	2.42	5.68
Stump	PIPO	9.63	121.22	2.43	2.22
Stump	PIPO	69.5	107.29	2.43	2.22
Stump	PIPO	192.9	136.98	2.43	2.22
Stump	PIPO	55.31	174.97	2.43	2.22
Stump	PIPO	134.64	157.03	2.43	2.22
Stump	PIPO	93.47	191.69	2.43	2.22
Stump	PIPO	44.29	192.24	2.43	2.22
Stump	PIPO	50.48	193.79	2.43	2.22
Stump	PIPO	19.73	184.37	2.43	2.22
Tree	PIPO	84.93	88.52	2.47	3.3
Stump	POTR	43.38	142.02	2.47	2.45
Stump	POTR	114.16	168.12	2.47	2.45
Tree	PIPO	121.52	125.08	2.48	3.05
Tree	POTR	119.41	177.56	2.5	1.78
Tree	POTR	117.55	176.07	2.5	1.02
Tree	POTR	113.57	175.83	2.5	1.52
Tree	POTR	15.54	142.88	2.5	2.54
Tree	POTR	7.55	158.18	2.5	5.08
Stump	PSME	55.19	196.29	2.5	5.88
Stump	PSME	34.51	194.85	2.5	5.88
Stump	PIPO	102.08	17.18	2.51	2.44
Stump	PIPO	62.16	173.97	2.51	2.44
