type	species	x_m	y_m	ht_m	dbh_cm
Stump	PIPO	96.36	156.57	4.25	7.59
Stump	POTR	41.39	140.4	4.25	5.86
Stump	POTR	91.19	200	4.25	5.86
Stump	PSME	30.29	193.94	4.27	10.33
Tree	PIPO	85.84	98.05	4.31	10.41
Tree	PIPO	195.82	23.53	4.32	13.72
Tree	PIPO	188.64	54.67	4.32	10.67
Stump	PIPO	170.51	13.53	4.33	7.81
Stump	PIPO	95.18	37.52	4.33	7.81
Stump	PIPO	113.5	145.63	4.33	7.81
Stump	PIPO	16.51	134.69	4.33	7.81
Stump	PIPO	9.21	144.32	4.33	7.81
Stump	PIPO	41.23	166.69	4.33	7.81
Stump	PIPO	39.71	159.74	4.33	7.81
Stump	PIPO	25.66	152.2	4.33	7.81
Stump	PIPO	52.92	166.09	4.33	7.81
Stump	PIPO	75.58	155.37	4.33	7.81
Stump	PIPO	120.74	156.07	4.33	7.81
Stump	PIPO	24.61	194.36	4.33	7.81
Tree	PIPO	75.27	87.81	4.34	12.19
Tree	PIPO	58.27	116.52	4.34	12.45
Stump	POTR	40.73	141.17	4.37	6.09
Stump	POTR	109.01	157.35	4.37	6.09
Stump	PIPO	117.09	5.49	4.41	8.04
Stump	PIPO	79.18	36.56	4.41	8.04
Stump	PIPO	141.47	56.65	4.41	8.04
Stump	PIPO	155.33	68.24	4.41	8.04
Stump	PIPO	53.75	168.96	4.41	8.04
Stump	PIPO	52.14	169.07	4.41	8.04
Stump	PIPO	52.2	171.64	4.41	8.04
Stump	PIPO	90.3	167.54	4.41	8.04
Tree	PIPO	186.59	24.85	4.41	13.21
Tree	PIPO	154.82	176.05	4.42	9.4
Stump	PSME	58.81	177.49	4.43	10.73
Tree	PIPO	107.12	57.61	4.45	10.67
Stump	PIPO	0	0	4.48	8.26
Stump	PIPO	126.43	83.53	4.48	8.26
Stump	PIPO	116.23	145.18	4.48	8.26
Stump	PIPO	42.08	166.1	4.48	8.26
Stump	PIPO	64.03	160.34	4.48	8.26
Stump	PIPO	56.94	167.9	4.48	8.26
Stump	PIPO	95.63	155.53	4.48	8.26
Stump	PIPO	119.95	160.16	4.48	8.26
Stump	PIPO	186.23	181.18	4.48	8.26
Stump	PIPO	55.37	165.5	4.48	8.26
Stump	POTR	15.18	153.28	4.49	6.32
Stump	POTR	105.71	185.13	4.49	6.32
Stump	POTR	107.11	159.29	4.49	6.32
Stump	POTR	116.05	176.35	4.49	6.32
Stump	POTR	113.15	181.59	4.49	6.32
Tree	PIPO	174.31	38.48	4.5	10.16
Tree	PIPO	140.31	35.44	4.5	9.4
Tree	PIPO	128.39	131.66	4.53	8.89
Tree	PIPO	176	162.94	4.54	11.94
Stump	PIPO	137.97	22.55	4.56	8.49
Stump	PIPO	24.54	65.22	4.56	8.49
Stump	PIPO	100.39	56.13	4.56	8.49
Stump	PIPO	19.25	85.41	4.56	8.49
Stump	PIPO	10.74	121.73	4.56	8.49
Stump	PIPO	44.05	168.72	4.56	8.49
Stump	PIPO	70.28	158.56	4.56	8.49
Stump	PIPO	71.2	159.93	4.56	8.49
Stump	PIPO	53.54	170.92	4.56	8.49
Stump	PIPO	60.08	187.81	4.56	8.49
Tree	PIPO	185.95	176.5	4.58	12.45
Tree	PIPO	117.21	12.97	4.58	16.26
Stump	PSME	63.29	192.7	4.59	11.13
Tree	PIPO	112.88	3.05	4.61	16.51
Stump	POTR	105.59	163.96	4.61	6.54
Stump	PIPO	144.11	10.68	4.63	8.71
Stump	PIPO	162.09	2.22	4.63	8.71
Stump	PIPO	171.91	11.12	4.63	8.71
Stump	PIPO	148.65	28.32	4.63	8.71
Stump	PIPO	42.74	55.87	4.63	8.71
Stump	PIPO	38.64	107.5	4.63	8.71
Stump	PIPO	14.06	140.4	4.63	8.71
Stump	PIPO	36	155.08	4.63	8.71
Stump	PIPO	86.14	164	4.63	8.71
Stump	PIPO	127.96	154.09	4.63	8.71
Stump	PIPO	183.61	169.71	4.63	8.71
Stump	PIPO	66.35	161.24	4.63	8.71
Tree	PIPO	125	39.27	4.63	8.89
Tree	PSME	128.26	9.57	4.68	16
Stump	PIPO	126.1	89.35	4.71	8.93
Stump	PIPO	37.31	103.67	4.71	8.93
Stump	PIPO	184.95	147.45	4.71	8.93
Stump	PIPO	105.3	133.13	4.71	8.93
Stump	PIPO	112.82	136.79	4.71	8.93
Stump	PIPO	7.45	144.61	4.71	8.93
Stump	PIPO	8.41	143.88	4.71	8.93
Stump	PIPO	25.15	151.67	4.71	8.93
Stump	PIPO	6.03	152.65	4.71	8.93
Stump	PIPO	2.22	150.7	4.71	8.93
Stump	PIPO	44.38	167.75	4.71	8.93
Stump	PIPO	43.21	164.95	4.71	8.93
Stump	PIPO	45.21	164.79	4.71	8.93
Stump	PIPO	73.14	171.13	4.71	8.93
Stump	PIPO	75.77	156.86	4.71	8.93
Stump	PIPO	89.68	158.1	4.71	8.93
Stump	PIPO	100.61	151.03	4.71	8.93
Stump	PIPO	100	172.53	4.71	8.93
Stump	PIPO	121.58	166.92	4.71	8.93
Stump	PIPO	120.97	151.03	4.71	8.93
Stump	PIPO	80.41	178.78	4.71	8.93
Stump	PIPO	55.75	195.06	4.71	8.93
Stump	PIPO	34.84	188.11	4.71	8.93
Stump	PIPO	40.32	188.94	4.71	8.93
Stump	PIPO	38.87	194.45	4.71	8.93
Stump	PIPO	10.81	186.11	4.71	8.93
Stump	PIPO	25.71	186.99	4.71	8.93
Stump	PIPO	33.46	127.6	4.71	8.93
Stump	POTR	141.89	172.41	4.72	6.77
Stump	POTR	95.73	194.74	4.72	6.77
Stump	PSME	100.22	104.77	4.75	11.54
Tree	PIPO	189.25	176.72	4.78	10.67
Stump	PIPO	35.56	0	4.79	9.16
Stump	PIPO	82.5	3.79	4.79	9.16
Stump	PIPO	117.21	5.23	4.79	9.16
Stump	PIPO	185.8	13.68	4.79	9.16
Stump	PIPO	7.41	125.09	4.79	9.16
Stump	PIPO	100.02	156.47	4.79	9.16
Stump	PIPO	101.48	171.76	4.79	9.16
Stump	PIPO	16.04	178.21	4.79	9.16
Stump	PIPO	85.57	190.97	4.79	9.16
Tree	PIPO	182.97	178.91	4.82	13.46
Tree	PSME	128.5	9.31	4.82	14.99
Tree	PIPO	1.81	130.5	4.83	13.72
Stump	POTR	44.4	143.35	4.84	7
Stump	POTR	44.47	143.41	4.84	7
Stump	POTR	44.21	140.22	4.84	7
Stump	PIPO	198.21	7.36	4.86	9.38
Stump	PIPO	198.71	15.76	4.86	9.38
Stump	PIPO	12.2	57.27	4.86	9.38
Stump	PIPO	178.17	50.9	4.86	9.38
Stump	PIPO	126.34	88.94	4.86	9.38
Stump	PIPO	33.14	101.06	4.86	9.38
Stump	PIPO	42.37	165.64	4.86	9.38
Stump	PIPO	94.9	152.73	4.86	9.38
Stump	PIPO	112.59	159.18	4.86	9.38
Stump	PIPO	100.23	160.78	4.86	9.38
Stump	PIPO	63.66	179.89	4.86	9.38
Tree	PIPO	155.54	185.17	4.9	13.21
Stump	PSME	50.86	159.87	4.91	11.94
Tree	PIPO	195.64	175.36	4.93	13.46
Stump	PIPO	111.42	60.03	4.94	9.6
Stump	PIPO	178.65	52.6	4.94	9.6
Stump	PIPO	46.68	77.13	4.94	9.6
Stump	PIPO	32.14	159.69	4.94	9.6
Stump	PIPO	93.97	151.53	4.94	9.6
Stump	PIPO	100	172.6	4.94	9.6
Stump	PIPO	126.18	156.47	4.94	9.6
Stump	PIPO	10.6	185.75	4.94	9.6
Stump	PSME	45.2	184.81	4.99	12.14
Stump	PIPO	138.11	24.05	5.01	9.83
Stump	PIPO	4.64	56.73	5.01	9.83
Stump	PIPO	69.85	80.84	5.01	9.83
Stump	PIPO	77.94	112.52	5.01	9.83
Stump	PIPO	43.59	163.61	5.01	9.83
Stump	PIPO	73.6	159.68	5.01	9.83
Stump	PIPO	83.65	151.22	5.01	9.83
Stump	PIPO	86.18	161.78	5.01	9.83
Stump	PIPO	97.02	154.08	5.01	9.83
Stump	PIPO	93.44	171.06	5.01	9.83
Stump	PIPO	81.56	171.21	5.01	9.83
Stump	PIPO	119.96	150.21	5.01	9.83
Stump	PIPO	148.08	166.34	5.01	9.83
Stump	PIPO	87.79	177.07	5.01	9.83
Stump	PIPO	79.54	178.45	5.01	9.83
Tree	PIPO	185.16	184.21	5.08	13.46
Stump	POTR	116	176.34	5.08	7.45
Stump	PIPO	174.11	14.03	5.09	10.05
Stump	PIPO	153.65	45.68	5.09	10.05
Stump	PIPO	35.67	43.63	5.09	10.05
Stump	PIPO	6.84	73.85	5.09	10.05
Stump	PIPO	64.62	109.86	5.09	10.05
Stump	PIPO	98.79	103.77	5.09	10.05
Stump	PIPO	184.42	121.99	5.09	10.05
Stump	PIPO	100.66	129.69	5.09	10.05
Stump	PIPO	113.66	146.19	5.09	10.05
Stump	PIPO	114.74	138.7	5.09	10.05
Stump	PIPO	20.27	141.06	5.09	10.05
Stump	PIPO	60.08	165.24	5.09	10.05
Stump	PIPO	59.11	167.42	5.09	10.05
Stump	PIPO	70.93	166.82	5.09	10.05
Stump	PIPO	78.25	156.43	5.09	10.05
Stump	PIPO	99.77	151.21	5.09	10.05
Stump	PIPO	117.26	175.59	5.09	10.05
Stump	PIPO	119.7	154.33	5.09	10.05
Stump	PIPO	80.18	176.33	5.09	10.05
Stump	PIPO	64.31	177.45	5.09	10.05
Stump	PIPO	11.29	184.31	5.09	10.05
Stump	PIPO	16.63	186.26	5.09	10.05
Tree	PIPO	38.45	94.71	5.09	15.75
Tree	PIPO	133.13	187.77	5.09	15.49
Stump	PIPO	58.96	0.11	5.17	10.28
Stump	PIPO	172.26	14.85	5.17	10.28
Stump	PIPO	149.21	28.92	5.17	10.28
Stump	PIPO	92.16	32.75	5.17	10.28
Stump	PIPO	141.44	56.78	5.17	10.28
Stump	PIPO	40.42	161.37	5.17	10.28
Stump	PIPO	36.42	157.96	5.17	10.28
Stump	PIPO	80.56	152.22	5.17	10.28
Stump	PIPO	85.22	161.51	5.17	10.28
Stump	PIPO	104.37	151.24	5.17	10.28
Stump	PIPO	109.46	152.22	5.17	10.28
Tree	PIPO	180.14	156.01	5.18	13.97
Tree	PIPO	193.06	180.11	5.2	13.72
Stump	POTR	105.2	160.47	5.2	7.68
Stump	POTR	109.35	186.26	5.2	7.68
Stump	PSME	59.92	194.9	5.23	12.75
Stump	PIPO	16.88	1	5.24	10.5
Stump	PIPO	86.57	66.1	5.24	10.5
Stump	PIPO	80.56	107.68	5.24	10.5
Stump	PIPO	88.94	174.14	5.24	10.5
Stump	PIPO	80.21	173.12	5.24	10.5
Stump	PIPO	120.73	156.14	5.24	10.5
Stump	PIPO	192.42	158.24	5.24	10.5
Stump	PIPO	12.18	190.59	5.24	10.5
Stump	PIPO	66.86	46.66	5.28	10.61
Tree	PIPO	105.9	30.49	5.3	11.68
Stump	PIPO	55.71	2.2	5.32	10.72
Stump	PIPO	169.01	13.86	5.32	10.72
Stump	PIPO	83.19	47.04	5.32	10.72
Stump	PIPO	15.98	59.23	5.32	10.72
Stump	PIPO	141.33	56.3	5.32	10.72
Stump	PIPO	159.93	73.29	5.32	10.72
Stump	PIPO	19.77	79.89	5.32	10.72
Stump	PIPO	77.45	105.25	5.32	10.72
Stump	PIPO	8	145.42	5.32	10.72
Stump	PIPO	44.79	161.15	5.32	10.72
Stump	PIPO	36.87	168.49	5.32	10.72
Stump	PIPO	31.55	168.81	5.32	10.72
Stump	PIPO	76.01	169.97	5.32	10.72
Stump	PIPO	164.85	156.27	5.32	10.72
Stump	PIPO	69.31	176.01	5.32	10.72
Stump	PIPO	10.74	189.3	5.32	10.72
Stump	POTR	110.57	175.51	5.32	7.9
Tree	PIPO	180.93	166.57	5.35	10.41
Tree	PIPO	102.02	93.03	5.35	14.99
Stump	PIPO	37.87	1.47	5.39	10.95
Stump	PIPO	87.05	14.62	5.39	10.95
Stump	PIPO	102.31	15.84	5.39	10.95
Stump	PIPO	141.18	18.09	5.39	10.95
Stump	PIPO	87.87	146.41	5.39	10.95
Stump	PIPO	37.08	153.62	5.39	10.95
Stump	PIPO	67.91	171.64	5.39	10.95
Stump	PIPO	75	169.5	5.39	10.95
Stump	PIPO	117.43	153.96	5.39	10.95
Stump	PIPO	11.78	187.24	5.39	10.95
Stump	PIPO	13.55	183.14	5.39	10.95
Stump	PSME	5.12	151.79	5.39	13.15
Tree	PIPO	178.05	39.6	5.41	14.73
Tree	PIPO	131.5	36.77	5.46	13.72
Stump	PIPO	30.76	1.77	5.47	11.17
Stump	PIPO	161.21	7.59	5.47	11.17
Stump	PIPO	152.83	48.08	5.47	11.17
Stump	PIPO	148.76	29.32	5.47	11.17
Stump	PIPO	80.15	27.44	5.47	11.17
Stump	PIPO	53.47	43.7	5.47	11.17
Stump	PIPO	80.88	53.01	5.47	11.17
Stump	PIPO	83.03	77.35	5.47	11.17
Stump	PIPO	35.47	120.02	5.47	11.17
Stump	PIPO	103.32	131.27	5.47	11.17
Stump	PIPO	111.99	147.46	5.47	11.17
Stump	PIPO	21.01	167.76	5.47	11.17
Stump	PIPO	25.98	158.64	5.47	11.17
Stump	PIPO	46.43	167.6	5.47	11.17
Stump	PIPO	38.23	159.23	5.47	11.17
Stump	PIPO	62.45	152.71	5.47	11.17
Stump	PIPO	76.53	150	5.47	11.17
Stump	PIPO	73.05	159.55	5.47	11.17
Stump	PIPO	56.19	168.09	5.47	11.17
Stump	PIPO	59.99	170.48	5.47	11.17
Stump	PIPO	120.18	155.56	5.47	11.17
Stump	PIPO	200	186.44	5.47	11.17
Stump	PIPO	187.88	175.95	5.47	11.17
Stump	PIPO	75.78	175.01	5.47	11.17
Stump	PIPO	76.6	179.44	5.47	11.17
Stump	PIPO	81.74	178.77	5.47	11.17
Stump	PIPO	93.42	183.05	5.47	11.17
Stump	PIPO	61.04	177.88	5.47	11.17
Stump	PIPO	43.22	193.54	5.47	11.17
Stump	PIPO	5.32	186.2	5.47	11.17
Stump	PIPO	14.03	183.94	5.47	11.17
Stump	PIPO	33.38	125.91	5.47	11.17
Stump	PIPO	29.86	126.57	5.47	11.17
Tree	PIPO	107.23	62.52	5.51	14.22
Stump	PIPO	24.42	3.26	5.54	11.4
Stump	PIPO	89.66	8.98	5.54	11.4
Stump	PIPO	118.04	5.79	5.54	11.4
Stump	PIPO	182.87	14.38	5.54	11.4
Stump	PIPO	80.06	30.68	5.54	11.4
Stump	PIPO	95.96	76.36	5.54	11.4
Stump	PIPO	62.83	109.67	5.54	11.4
Stump	PIPO	68.4	160.24	5.54	11.4
Stump	PIPO	85.64	158.34	5.54	11.4
Stump	PIPO	92.77	171.47	5.54	11.4
Stump	PIPO	13.69	188.17	5.54	11.4
Tree	PIPO	177.73	149.37	5.58	15.49
Tree	PIPO	151.09	145.12	5.6	13.46
Tree	PIPO	2.69	109.58	5.61	13.97
Stump	PIPO	171.01	8.66	5.62	11.62
Stump	PIPO	84.42	25.97	5.62	11.62
Stump	PIPO	84.27	25.66	5.62	11.62
Stump	PIPO	112.84	72.61	5.62	11.62
Stump	PIPO	26.88	167.46	5.62	11.62
Stump	PIPO	32.32	155.39	5.62	11.62
Stump	PIPO	76.27	154.84	5.62	11.62
Stump	PIPO	58.1	193.99	5.62	11.62
Stump	PIPO	34.05	138.41	5.62	11.62
Stump	PIPO	104.54	160.8	5.62	11.62
Tree	PIPO	189.88	112.1	5.64	17.02
Stump	POTR	103.65	178.68	5.68	8.59
Stump	POTR	43.94	140.56	5.68	8.59
Stump	POTR	109.92	174.44	5.68	8.59
Stump	PIPO	0.16	7.54	5.7	11.84
Stump	PIPO	160.58	5.34	5.7	11.84
Stump	PIPO	80.99	31.4	5.7	11.84
Stump	PIPO	71.44	91.04	5.7	11.84
Stump	PIPO	89.2	103.57	5.7	11.84
Stump	PIPO	105.25	131.76	5.7	11.84
Stump	PIPO	105.68	132.43	5.7	11.84
Stump	PIPO	81.02	139.75	5.7	11.84
Stump	PIPO	22.2	137.15	5.7	11.84
Stump	PIPO	24.37	151.92	5.7	11.84
Stump	PIPO	28.6	153.59	5.7	11.84
Stump	PIPO	29.49	189.31	5.7	11.84
Stump	PIPO	43.7	187.76	5.7	11.84
Stump	PIPO	38.04	193.28	5.7	11.84
Stump	PIPO	12.69	189.65	5.7	11.84
Stump	PIPO	13.92	182.72	5.7	11.84
Tree	PIPO	149.97	200	5.71	15.24
Tree	PIPO	163.66	126.97	5.73	23.62
Tree	PIPO	137.94	40.92	5.75	14.99
Stump	PIPO	25.73	2.22	5.77	12.07
Stump	PIPO	143.99	11.91	5.77	12.07
Stump	PIPO	71.35	62.93	5.77	12.07
Stump	PIPO	16.33	137.17	5.77	12.07
Stump	PIPO	9.46	146.04	5.77	12.07
Stump	PIPO	83.66	151.19	5.77	12.07
Stump	PIPO	2.76	176.21	5.77	12.07
Tree	PIPO	38.8	39.19	5.84	13.97
Tree	PIPO	185.07	151.43	5.84	31.24
Stump	PIPO	39.18	0.62	5.85	12.29
Stump	PIPO	104.54	17.29	5.85	12.29
Stump	PIPO	52.04	43.2	5.85	12.29
Stump	PIPO	54.48	45.37	5.85	12.29
Stump	PIPO	13.68	60.72	5.85	12.29
Stump	PIPO	100.63	141.58	5.85	12.29
Stump	PIPO	23.38	161.1	5.85	12.29
Stump	PIPO	39.76	162.39	5.85	12.29
Stump	PIPO	46.26	158.89	5.85	12.29
Stump	PIPO	61.29	151.97	5.85	12.29
Stump	PIPO	66.03	161.6	5.85	12.29
Stump	PIPO	62.09	166.47	5.85	12.29
Stump	PIPO	86.3	154.45	5.85	12.29
Stump	PIPO	88.33	158.27	5.85	12.29
Stump	PIPO	81.38	175.41	5.85	12.29
Stump	PIPO	102.73	171.64	5.85	12.29
Stump	PIPO	119.77	158.39	5.85	12.29
Stump	PIPO	188.43	167.75	5.85	12.29
Stump	PIPO	81.44	176.62	5.85	12.29
Stump	PIPO	76.09	176.28	5.85	12.29
Stump	PIPO	93.6	191.57	5.85	12.29
Stump	PIPO	93.72	190.38	5.85	12.29
Stump	PIPO	37.13	191.4	5.85	12.29
Stump	PIPO	8.11	187.73	5.85	12.29
Stump	PIPO	23.31	181.77	5.85	12.29
Stump	POTR	110.44	195.05	5.91	9.04
Stump	POTR	144.72	179.26	5.91	9.04
Stump	PIPO	76.66	22.03	5.92	12.51
Stump	PIPO	28.84	32.73	5.92	12.51
Stump	PIPO	15.05	140.53	5.92	12.51
Stump	PIPO	22.47	170.45	5.92	12.51
Stump	PIPO	20.35	151.67	5.92	12.51
Stump	PIPO	41.48	163.39	5.92	12.51
Stump	PIPO	38.51	164.09	5.92	12.51
Stump	PIPO	61.43	164.58	5.92	12.51
Stump	PIPO	81.09	154.17	5.92	12.51
Stump	PIPO	8.57	178.34	5.92	12.51
Stump	PIPO	8.38	183.06	5.92	12.51
Tree	PIPO	188.35	162.41	5.96	13.97
Stump	PIPO	41.21	10.13	6	12.74
Stump	PIPO	171.6	12.88	6	12.74
Stump	PIPO	91.83	35.31	6	12.74
Stump	PIPO	113.3	61.68	6	12.74
Stump	PIPO	96.36	76.57	6	12.74
Stump	PIPO	9.32	128.45	6	12.74
Stump	PIPO	85.04	153.36	6	12.74
Stump	PIPO	115.07	155.66	6	12.74
Stump	PIPO	200	188.68	6	12.74
Stump	PIPO	32.79	125.86	6	12.74
Tree	PIPO	126.21	50.68	6	16
Tree	PIPO	132.4	37.93	6.01	16.26
Tree	PIPO	175	45.44	6.04	18.8
Tree	PIPO	70.47	152.12	6.05	14.22
Stump	PIPO	196.58	9.79	6.08	12.96
Stump	PIPO	150.11	37.6	6.08	12.96
Stump	PIPO	102.53	46.23	6.08	12.96
Stump	PIPO	191.73	139.75	6.08	12.96
Stump	PIPO	194.57	144.5	6.08	12.96
Stump	PIPO	26.97	139.89	6.08	12.96
Stump	PIPO	9.6	151.75	6.08	12.96
Stump	PIPO	40.37	163.27	6.08	12.96
Stump	PIPO	50	170.21	6.08	12.96
Stump	PIPO	97.16	157.72	6.08	12.96
Stump	PIPO	100.04	171.94	6.08	12.96
Stump	PIPO	190.9	172.12	6.08	12.96
Stump	PIPO	4.37	177.66	6.08	12.96
Stump	PIPO	82.64	178.1	6.08	12.96
Stump	PIPO	143.25	8.05	6.15	13.19
Stump	PIPO	195.29	17.39	6.15	13.19
Stump	PIPO	68.95	47.58	6.15	13.19
Stump	PIPO	28.9	35.27	6.15	13.19
Stump	PIPO	96.56	138.47	6.15	13.19
Stump	PIPO	17.17	160.98	6.15	13.19
Stump	PIPO	99.93	156.08	6.15	13.19
Stump	PIPO	42.75	126.87	6.15	13.19
Stump	PIPO	33.78	146.52	6.15	13.19
Tree	PIPO	180.8	176.48	6.16	11.43
Tree	PIPO	161.28	143.27	6.17	14.48
Stump	PSME	13.38	172.54	6.19	15.17
Stump	PSME	5.28	185.37	6.19	15.17
Stump	PSME	25.11	192.32	6.19	15.17
Tree	PIPO	97.11	60.03	6.2	18.8
Tree	PIPO	194.55	168.49	6.22	23.88
Stump	PIPO	194.99	17.5	6.23	13.41
Stump	PIPO	83.86	28.89	6.23	13.41
Stump	PIPO	54.23	46.57	6.23	13.41
Stump	PIPO	4.47	28.37	6.23	13.41
Stump	PIPO	64.31	75.2	6.23	13.41
Stump	PIPO	29.77	86.51	6.23	13.41
Stump	PIPO	193	145.56	6.23	13.41
Stump	PIPO	15.98	138.46	6.23	13.41
Stump	PIPO	5.45	139.36	6.23	13.41
Stump	PIPO	22.14	167.11	6.23	13.41
Stump	PIPO	42.93	170.48	6.23	13.41
Stump	PIPO	33.88	157.61	6.23	13.41
Stump	PIPO	59.45	164.07	6.23	13.41
Stump	PIPO	50.11	166.25	6.23	13.41
Stump	PIPO	65.91	175.36	6.23	13.41
Stump	PIPO	75.36	161.99	6.23	13.41
Stump	PIPO	114.9	154.38	6.23	13.41
Stump	PIPO	58.25	180.91	6.23	13.41
Stump	PIPO	31.93	190.14	6.23	13.41
Stump	PIPO	13.89	186.99	6.23	13.41
Stump	PIPO	38.69	142.52	6.23	13.41
Tree	PIPO	141.05	56.91	6.26	16.26
Stump	POTR	147.11	175.85	6.27	9.72
Stump	PIPO	104.4	17.27	6.3	13.63
Stump	PIPO	197.67	16.23	6.3	13.63
Stump	PIPO	199.06	16.35	6.3	13.63
Stump	PIPO	94.86	151.98	6.3	13.63
Tree	PIPO	186.83	127.71	6.31	14.48
Tree	PIPO	109	63.65	6.35	12.45
Tree	PSME	56.98	109.93	6.36	16
Stump	PIPO	169.93	13.96	6.38	13.86
Stump	PIPO	199.41	14.44	6.38	13.86
Stump	PIPO	27.94	35.12	6.38	13.86
Stump	PIPO	30.38	44.52	6.38	13.86
Stump	PIPO	78.44	54.31	6.38	13.86
Stump	PIPO	34.48	158.54	6.38	13.86
Tree	PIPO	126.94	6.11	6.39	21.08
Tree	PIPO	172.95	44.6	6.39	16.76
Tree	PIPO	153.12	148.71	6.4	18.8
Tree	PIPO	138.56	23.21	6.44	17.78
Tree	PIPO	192.04	152.42	6.44	12.95
Stump	PSME	27.35	168.59	6.44	15.78
Tree	PIPO	93.09	61.53	6.45	24.38
Stump	PIPO	83.39	58.51	6.46	14.08
Stump	PIPO	30.56	117.02	6.46	14.08
Stump	PIPO	23.29	155.59	6.46	14.08
Stump	PIPO	88.99	161.87	6.46	14.08
Stump	PIPO	75	161.18	6.46	14.08
Stump	PIPO	64.96	177.16	6.46	14.08
Stump	PIPO	9.01	190.99	6.46	14.08
Tree	PIPO	186.31	35.4	6.48	21.08
Stump	POTR	23.43	142.4	6.51	10.18
Tree	PIPO	107.5	24.84	6.52	18.29
Stump	PSME	35.47	187.13	6.52	15.98
Stump	PSME	22.18	193.35	6.52	15.98
Stump	PIPO	45.61	11.23	6.53	14.3
Stump	PIPO	146.62	14.31	6.53	14.3
Stump	PIPO	198.29	9.55	6.53	14.3
Stump	PIPO	119.44	86	6.53	14.3
Stump	PIPO	24.69	164.83	6.53	14.3
Stump	PIPO	88.96	159.52	6.53	14.3
Stump	PIPO	75	170	6.53	14.3
Stump	PIPO	117.96	157.62	6.53	14.3
Stump	PIPO	129.85	158.14	6.53	14.3
Stump	PIPO	200	188.22	6.53	14.3
Stump	PIPO	100	161.71	6.53	14.3
Tree	PIPO	112.78	50.96	6.54	21.84
Tree	PIPO	34.3	135.55	6.54	14.73
Tree	PIPO	166.6	69.1	6.54	20.83
Tree	PIPO	192.72	175.28	6.55	16.26
Tree	PIPO	136.87	23.09	6.56	20.07
Stump	PIPO	35.34	1.56	6.61	14.53
Stump	PIPO	197.87	0	6.61	14.53
Stump	PIPO	56.24	49.64	6.61	14.53
Stump	PIPO	10.84	115.71	6.61	14.53
Stump	PIPO	110.09	142.55	6.61	14.53
Stump	PIPO	100.24	142.93	6.61	14.53
Stump	PIPO	8.59	142.85	6.61	14.53
Stump	PIPO	32.17	168.02	6.61	14.53
Stump	PIPO	61.82	157.3	6.61	14.53
Stump	PIPO	68.24	158.66	6.61	14.53
Stump	PIPO	63.61	173.38	6.61	14.53
Stump	PIPO	56.86	173.62	6.61	14.53
Stump	PIPO	131.43	156.19	6.61	14.53
Stump	PIPO	188.16	166.84	6.61	14.53
Stump	PIPO	98.09	193.3	6.61	14.53
Stump	PIPO	47.28	166.37	6.61	14.53
Stump	PIPO	41.32	195.96	6.61	14.53
Stump	PIPO	172.39	9.87	6.68	14.75
Stump	PIPO	174.22	14.32	6.68	14.75
Stump	PIPO	79.68	29.83	6.68	14.75
Stump	PIPO	94.07	35.62	6.68	14.75
Stump	PIPO	59.66	50.83	6.68	14.75
Stump	PIPO	81.66	138.84	6.68	14.75
Stump	PIPO	4.99	142.64	6.68	14.75
Stump	PIPO	71.17	163.96	6.68	14.75
Stump	PSME	30.08	183	6.68	16.39
Tree	PIPO	100.87	65.6	6.7	15.24
Tree	PIPO	78.1	94.14	6.73	15.24
Stump	POTR	17.65	140.5	6.74	10.63
Stump	PIPO	71.88	45.69	6.76	14.98
Stump	PIPO	56.91	51.16	6.76	14.98
Stump	PIPO	32.56	98.82	6.76	14.98
Stump	PIPO	33.23	98.9	6.76	14.98
Stump	PIPO	25.96	116.54	6.76	14.98
Stump	PIPO	12.19	126.11	6.76	14.98
Stump	PIPO	40.24	161.48	6.76	14.98
Stump	PIPO	73.14	158.33	6.76	14.98
Stump	PIPO	100.86	162.5	6.76	14.98
Stump	PIPO	50.19	175.65	6.76	14.98
Stump	PIPO	42.94	162.42	6.76	14.98
Stump	PIPO	7.93	178.58	6.76	14.98
Stump	PSME	32.98	190	6.76	16.59
Tree	PIPO	158.67	46.14	6.8	17.27
Tree	PIPO	42.8	129.64	6.83	23.62
Stump	PIPO	168.87	11.98	6.84	15.2
Stump	PIPO	119.82	62.38	6.84	15.2
Stump	PIPO	35.88	122.51	6.84	15.2
Stump	PIPO	29.89	100.2	6.84	15.2
Stump	PIPO	35.23	154.88	6.84	15.2
Stump	PIPO	83.16	161.56	6.84	15.2
Stump	PIPO	100	175.18	6.84	15.2
Stump	PIPO	119.41	153.6	6.84	15.2
Stump	PIPO	36.45	186.09	6.84	15.2
Stump	PIPO	20.31	154.91	6.84	15.2
Stump	PIPO	38.41	165.99	6.84	15.2
Stump	PIPO	58.27	180.35	6.84	15.2
Stump	POTR	5.59	160.04	6.86	10.86
Stump	POTR	109.11	178.05	6.86	10.86
Stump	POTR	106.24	164.63	6.86	10.86
Tree	PIPO	20.25	139.34	6.87	16.51
Stump	PIPO	44.37	16.25	6.91	15.42
Stump	PIPO	27.14	0.52	6.91	15.42
Stump	PIPO	65.17	5.16	6.91	15.42
Stump	PIPO	101.97	15.83	6.91	15.42
Stump	PIPO	143.06	14.31	6.91	15.42
Stump	PIPO	144.62	16.46	6.91	15.42
Stump	PIPO	160.75	2.8	6.91	15.42
